,date,product,PK_Md,relevancy
25,2023-02-12,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
26,2023-02-19,iphone 14,0fd8e23cca352854a7ae750538684cc6,23
27,2023-02-26,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
28,2023-03-05,iphone 14,0fd8e23cca352854a7ae750538684cc6,23
29,2023-03-12,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
30,2023-03-19,iphone 14,0fd8e23cca352854a7ae750538684cc6,21
31,2023-03-26,iphone 14,0fd8e23cca352854a7ae750538684cc6,20
32,2023-04-02,iphone 14,0fd8e23cca352854a7ae750538684cc6,23
33,2023-04-09,iphone 14,0fd8e23cca352854a7ae750538684cc6,23
34,2023-04-16,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
35,2023-04-23,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
36,2023-04-30,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
37,2023-05-07,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
38,2023-05-14,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
39,2023-05-21,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
40,2023-05-28,iphone 14,0fd8e23cca352854a7ae750538684cc6,23
41,2023-06-04,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
42,2023-06-11,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
43,2023-06-18,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
44,2023-06-25,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
45,2023-07-02,iphone 14,0fd8e23cca352854a7ae750538684cc6,27
46,2023-07-09,iphone 14,0fd8e23cca352854a7ae750538684cc6,28
47,2023-07-16,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
48,2023-07-23,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
49,2023-07-30,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
50,2023-08-06,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
51,2023-08-13,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
